요청년월,신청구분코드,신청구분명,접수건수
2025-10-21,999,미구분,1
2025-11-21,454,연금수급자정보변경,24
2025-11-21,459,연금수급증발급,8
2025-11-21,999,미구분,12
2025-12-21,454,연금수급자정보변경,31
2025-12-21,459,연금수급증발급,13
2025-12-21,999,미구분,84
2025-01-22,454,연금수급자정보변경,43
2025-01-22,459,연금수급증발급,23
2025-01-22,999,미구분,65
2025-02-22,454,연금수급자정보변경,36
2025-02-22,457,연금수급자신분변동,1
2025-02-22,459,연금수급증발급,13
2025-02-22,999,미구분,22
2025-03-22,454,연금수급자정보변경,88
2025-03-22,457,연금수급자신분변동,3
2025-03-22,459,연금수급증발급,34
2025-03-22,999,미구분,37
2025-04-22,453,청산일시금,1
2025-04-22,454,연금수급자정보변경,42
2025-04-22,459,연금수급증발급,39
2025-04-22,999,미구분,26
2025-05-22,454,연금수급자정보변경,34
2025-05-22,459,연금수급증발급,30
2025-05-22,999,미구분,13
2025-06-22,454,연금수급자정보변경,29
2025-06-22,457,연금수급자신분변동,1
2025-06-22,459,연금수급증발급,30
2025-06-22,999,미구분,6
2025-07-22,454,연금수급자정보변경,28
2025-07-22,457,연금수급자신분변동,3
2025-07-22,459,연금수급증발급,13
2025-07-22,999,미구분,4
2025-08-22,454,연금수급자정보변경,22
2025-08-22,457,연금수급자신분변동,2
2025-08-22,459,연금수급증발급,23
2025-08-22,999,미구분,5
2025-09-22,454,연금수급자정보변경,56
2025-09-22,457,연금수급자신분변동,3
2025-09-22,459,연금수급증발급,32
2025-09-22,999,미구분,16
2025-10-22,454,연금수급자정보변경,44
2025-10-22,459,연금수급증발급,33
2025-10-22,999,미구분,11
2025-11-22,454,연금수급자정보변경,30
2025-11-22,459,연금수급증발급,16
2025-11-22,999,미구분,22
2025-12-22,454,연금수급자정보변경,34
2025-12-22,457,연금수급자신분변동,2
2025-12-22,459,연금수급증발급,27
2025-12-22,999,미구분,146
2025-01-23,454,연금수급자정보변경,76
2025-01-23,457,연금수급자신분변동,2
2025-01-23,459,연금수급증발급,32
2025-01-23,999,미구분,67
2025-02-23,454,연금수급자정보변경,63
2025-02-23,457,연금수급자신분변동,3
2025-02-23,459,연금수급증발급,27
2025-02-23,999,미구분,48
2025-03-23,454,연금수급자정보변경,98
2025-03-23,457,연금수급자신분변동,5
2025-03-23,459,연금수급증발급,35
2025-03-23,999,미구분,35
2025-04-23,454,연금수급자정보변경,58
2025-04-23,457,연금수급자신분변동,1
2025-04-23,459,연금수급증발급,39
2025-04-23,999,미구분,13
2025-05-23,454,연금수급자정보변경,58
2025-05-23,457,연금수급자신분변동,1
2025-05-23,459,연금수급증발급,32
2025-05-23,999,미구분,14
2025-06-23,454,연금수급자정보변경,42
2025-06-23,459,연금수급증발급,13
2025-06-23,999,미구분,1
2025-07-23,454,연금수급자정보변경,49
2025-07-23,459,연금수급증발급,26
2025-07-23,999,미구분,6
2025-08-23,454,연금수급자정보변경,53
2025-08-23,459,연금수급증발급,19
2025-08-23,999,미구분,5
2025-09-23,454,연금수급자정보변경,78
2025-09-23,457,연금수급자신분변동,2
2025-09-23,459,연금수급증발급,23
2025-09-23,999,미구분,21
2025-10-23,454,연금수급자정보변경,38
2025-10-23,457,연금수급자신분변동,1
2025-10-23,459,연금수급증발급,22
2025-10-23,999,미구분,1
2025-11-23,454,연금수급자정보변경,44
2025-11-23,457,연금수급자신분변동,1
2025-11-23,459,연금수급증발급,15
2025-11-23,999,미구분,21
2025-12-23,454,연금수급자정보변경,44
2025-12-23,457,연금수급자신분변동,2
2025-12-23,459,연금수급증발급,33
2025-12-23,999,미구분,122
2025-01-24,454,연금수급자정보변경,80
2025-01-24,457,연금수급자신분변동,4
2025-01-24,459,연금수급증발급,41
2025-01-24,999,미구분,42
2025-02-24,454,연금수급자정보변경,55
2025-02-24,457,연금수급자신분변동,1
2025-02-24,459,연금수급증발급,13
2025-02-24,999,미구분,28
2025-03-24,454,연금수급자정보변경,117
2025-03-24,457,연금수급자신분변동,3
2025-03-24,459,연금수급증발급,36
2025-03-24,999,미구분,9
2025-04-24,454,연금수급자정보변경,62
2025-04-24,457,연금수급자신분변동,2
2025-04-24,459,연금수급증발급,34
2025-04-24,999,미구분,13
2025-05-24,454,연금수급자정보변경,75
2025-05-24,459,연금수급증발급,27
2025-05-24,999,미구분,21
2025-06-24,453,청산일시금,1
2025-06-24,454,연금수급자정보변경,54
2025-06-24,459,연금수급증발급,23
2025-06-24,999,미구분,11
2025-07-24,454,연금수급자정보변경,55
2025-07-24,457,연금수급자신분변동,1
2025-07-24,459,연금수급증발급,22
2025-07-24,999,미구분,8
2025-08-24,454,연금수급자정보변경,62
2025-08-24,457,연금수급자신분변동,1
2025-08-24,459,연금수급증발급,21
2025-08-24,999,미구분,2
2025-09-24,454,연금수급자정보변경,91
2025-09-24,457,연금수급자신분변동,2
2025-09-24,459,연금수급증발급,15
2025-09-24,999,미구분,16
2025-10-24,454,연금수급자정보변경,66
2025-10-24,459,연금수급증발급,34
2025-10-24,999,미구분,9
2025-11-24,454,연금수급자정보변경,51
2025-11-24,459,연금수급증발급,26
2025-11-24,999,미구분,26
2025-12-24,453,청산일시금,2
2025-12-24,454,연금수급자정보변경,66
2025-12-24,457,연금수급자신분변동,3
2025-12-24,459,연금수급증발급,26
2025-12-24,999,미구분,53
2025-01-25,454,연금수급자정보변경,81
2025-01-25,457,연금수급자신분변동,3
2025-01-25,459,연금수급증발급,22
2025-01-25,999,미구분,45
2025-02-25,454,연금수급자정보변경,74
2025-02-25,457,연금수급자신분변동,3
2025-02-25,459,연금수급증발급,22
2025-02-25,999,미구분,16
2025-03-25,454,연금수급자정보변경,100
2025-03-25,457,연금수급자신분변동,8
2025-03-25,459,연금수급증발급,41
2025-03-25,999,미구분,31
2025-04-25,454,연금수급자정보변경,84
2025-04-25,457,연금수급자신분변동,2
2025-04-25,459,연금수급증발급,29
2025-04-25,999,미구분,4
2025-05-25,454,연금수급자정보변경,45
2025-05-25,459,연금수급증발급,32
2025-05-25,999,미구분,11
2025-06-25,454,연금수급자정보변경,77
2025-06-25,457,연금수급자신분변동,1
2025-06-25,459,연금수급증발급,20
2025-06-25,999,미구분,2
2025-07-25,454,연금수급자정보변경,63
2025-07-25,459,연금수급증발급,24
2025-07-25,999,미구분,5
2025-08-25,454,연금수급자정보변경,66
2025-08-25,459,연금수급증발급,15
2025-08-25,999,미구분,3
2025-09-25,454,연금수급자정보변경,69
2025-09-25,459,연금수급증발급,23
2025-09-25,999,미구분,5
2025-10-25,454,연금수급자정보변경,64
2025-10-25,457,연금수급자신분변동,1
2025-10-25,459,연금수급증발급,17
2025-11-25,454,연금수급자정보변경,108
2025-11-25,457,연금수급자신분변동,1
2025-11-25,459,연금수급증발급,24
2025-12-25,454,연금수급자정보변경,92
2025-12-25,459,연금수급증발급,19
2025-01-26,454,연금수급자정보변경,116
2025-01-26,457,연금수급자신분변동,3
