복원_요청연월,신청구분코드,신청구분명,접수건수
2017-03-01,458,연금지급정지조정신청,1
2017-03-01,459,연금수급증발급,51
2017-03-01,999,미구분,6
2017-04-01,454,연금수급자정보변경,16
2017-04-01,458,연금지급정지조정신청,1
2017-04-01,459,연금수급증발급,22
2017-04-01,999,미구분,3
2017-05-01,454,연금수급자정보변경,7
2017-05-01,459,연금수급증발급,12
2017-05-01,999,미구분,1
2017-06-01,454,연금수급자정보변경,8
2017-06-01,459,연금수급증발급,14
2017-07-01,454,연금수급자정보변경,18
2017-07-01,459,연금수급증발급,14
2017-07-01,999,미구분,1
2017-08-01,454,연금수급자정보변경,15
2017-08-01,458,연금지급정지조정신청,1
2017-08-01,459,연금수급증발급,11
2017-09-01,454,연금수급자정보변경,28
2017-09-01,459,연금수급증발급,46
2017-09-01,999,미구분,2
2017-10-01,454,연금수급자정보변경,7
2017-10-01,459,연금수급증발급,16
2017-11-01,454,연금수급자정보변경,11
2017-11-01,459,연금수급증발급,7
2017-11-01,999,미구분,2
2017-12-01,454,연금수급자정보변경,15
2017-12-01,459,연금수급증발급,28
2017-12-01,999,미구분,34
2018-01-01,454,연금수급자정보변경,15
2018-01-01,458,연금지급정지조정신청,3
2018-01-01,459,연금수급증발급,24
2018-01-01,999,미구분,6
2018-02-01,454,연금수급자정보변경,11
2018-02-01,458,연금지급정지조정신청,1
2018-02-01,459,연금수급증발급,12
2018-03-01,454,연금수급자정보변경,37
2018-03-01,458,연금지급정지조정신청,1
2018-03-01,459,연금수급증발급,54
2018-03-01,999,미구분,19
2018-04-01,454,연금수급자정보변경,26
2018-04-01,459,연금수급증발급,57
2018-04-01,999,미구분,4
2018-05-01,454,연금수급자정보변경,20
2018-05-01,458,연금지급정지조정신청,1
2018-05-01,459,연금수급증발급,22
2018-05-01,999,미구분,8
2018-06-01,454,연금수급자정보변경,19
2018-06-01,458,연금지급정지조정신청,1
2018-06-01,459,연금수급증발급,12
2018-06-01,999,미구분,1
2018-07-01,453,청산일시금,1
2018-07-01,454,연금수급자정보변경,7
2018-07-01,459,연금수급증발급,23
2018-07-01,999,미구분,1
2018-08-01,454,연금수급자정보변경,18
2018-08-01,459,연금수급증발급,18
2018-08-01,999,미구분,3
2018-09-01,454,연금수급자정보변경,27
2018-09-01,457,연금수급자신분변동,1
2018-09-01,459,연금수급증발급,56
2018-09-01,999,미구분,6
2018-10-01,454,연금수급자정보변경,18
2018-10-01,457,연금수급자신분변동,1
2018-10-01,459,연금수급증발급,22
2018-10-01,999,미구분,8
2018-11-01,454,연금수급자정보변경,19
2018-11-01,459,연금수급증발급,13
2018-11-01,999,미구분,5
2018-12-01,454,연금수급자정보변경,13
2018-12-01,459,연금수급증발급,28
2018-12-01,999,미구분,131
2019-01-01,454,연금수급자정보변경,18
2019-01-01,459,연금수급증발급,32
2019-01-01,999,미구분,10
2019-02-01,454,연금수급자정보변경,16
2019-02-01,457,연금수급자신분변동,1
2019-02-01,459,연금수급증발급,18
2019-02-01,999,미구분,1
2019-03-01,454,연금수급자정보변경,35
2019-03-01,457,연금수급자신분변동,4
2019-03-01,459,연금수급증발급,54
2019-03-01,999,미구분,20
2019-04-01,454,연금수급자정보변경,28
2019-04-01,459,연금수급증발급,58
2019-04-01,999,미구분,6
2019-05-01,454,연금수급자정보변경,22
2019-05-01,457,연금수급자신분변동,1
2019-05-01,459,연금수급증발급,39
2019-05-01,999,미구분,9
2019-06-01,454,연금수급자정보변경,15
2019-06-01,459,연금수급증발급,13
2019-06-01,999,미구분,4
2019-07-01,454,연금수급자정보변경,23
2019-07-01,459,연금수급증발급,11
2019-07-01,999,미구분,4
2019-08-01,454,연금수급자정보변경,13
2019-08-01,459,연금수급증발급,21
2019-08-01,999,미구분,3
2019-09-01,454,연금수급자정보변경,31
2019-09-01,457,연금수급자신분변동,1
2019-09-01,459,연금수급증발급,49
2019-09-01,999,미구분,13
2019-10-01,454,연금수급자정보변경,23
2019-10-01,457,연금수급자신분변동,1
2019-10-01,459,연금수급증발급,30
2019-10-01,999,미구분,11
2019-11-01,454,연금수급자정보변경,17
2019-11-01,459,연금수급증발급,27
2019-11-01,999,미구분,13
2019-12-01,454,연금수급자정보변경,24
2019-12-01,459,연금수급증발급,30
2019-12-01,999,미구분,97
2020-01-01,454,연금수급자정보변경,22
2020-01-01,459,연금수급증발급,27
2020-01-01,999,미구분,21
2020-02-01,454,연금수급자정보변경,26
2020-02-01,459,연금수급증발급,26
2020-02-01,999,미구분,11
2020-03-01,454,연금수급자정보변경,44
2020-03-01,459,연금수급증발급,93
2020-03-01,999,미구분,18
2020-04-01,454,연금수급자정보변경,30
2020-04-01,459,연금수급증발급,30
2020-04-01,999,미구분,11
2020-05-01,454,연금수급자정보변경,35
2020-05-01,459,연금수급증발급,23
2020-05-01,999,미구분,10
2020-06-01,454,연금수급자정보변경,27
2020-06-01,457,연금수급자신분변동,1
2020-06-01,459,연금수급증발급,21
2020-06-01,999,미구분,3
2020-07-01,454,연금수급자정보변경,23
2020-07-01,459,연금수급증발급,30
2020-07-01,999,미구분,13
2020-08-01,454,연금수급자정보변경,33
2020-08-01,459,연금수급증발급,16
2020-08-01,999,미구분,16
2020-09-01,454,연금수급자정보변경,40
2020-09-01,459,연금수급증발급,37
2020-09-01,999,미구분,15
2020-10-01,454,연금수급자정보변경,25
2020-10-01,459,연금수급증발급,35
2020-10-01,999,미구분,8
2020-11-01,454,연금수급자정보변경,23
2020-11-01,459,연금수급증발급,18
2020-11-01,999,미구분,12
2020-12-01,454,연금수급자정보변경,30
2020-12-01,459,연금수급증발급,25
2020-12-01,999,미구분,99
2021-01-01,454,연금수급자정보변경,26
2021-01-01,459,연금수급증발급,20
2021-01-01,999,미구분,27
2021-02-01,454,연금수급자정보변경,24
2021-02-01,457,연금수급자신분변동,1
2021-02-01,459,연금수급증발급,29
2021-02-01,999,미구분,12
2021-03-01,454,연금수급자정보변경,74
2021-03-01,457,연금수급자신분변동,4
2021-03-01,459,연금수급증발급,85
2021-03-01,999,미구분,24
2021-04-01,454,연금수급자정보변경,23
2021-04-01,459,연금수급증발급,26
2021-04-01,999,미구분,3
2021-05-01,454,연금수급자정보변경,28
