검색순위,데이터ID,데이터명,설명,키워드,수정일,조회수,다운로드,대분류,현재연구관련성,공식URL,공식존재여부,제공기관판정,데이터명판정,설명판정,키워드판정,수정일판정,종합검증판정,검증일,검증비고
51,15049781,사립학교교직원연금공단_직역연금별 재직기간 합산 승인 내역(공무원),본 데이터는 사립학교교직원연금공단이 처리한 직역연금별 재직기간 합산 승인 내역 중 공무원 연금 관련 정보를 상세하게 제공합니다.,"직역연금,합산,공무원연금,재직기간,사립학교,연금 제도",2026-07-08,"3,485건","1,107건",가입·재직·기관,보조검토,https://www.data.go.kr/data/15049781/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
52,15045880,사립학교교직원연금공단_보유회관 현황,"사립학교교직원연금공단이 소유한 보유회관의 현황과 관련된 데이터로 구분, 소재지, 대지면적(㎡), 연면적(㎡), 규모, 사용승인일, 건폐율(%), 용적률(%), 대표번호, 대관시설 정보의","회관 소재지,회관현황,회관위치,대지면적,연면적,사용승인일,대표번호",2026-06-23,"2,883건","1,110건",기관운영·ESG,보조검토,https://www.data.go.kr/data/15045880/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
53,15045808,사립학교교직원연금공단_교직원 현황(연도별 재직기간별),"사립학교교직원의 현황(연도별 재직기간별)을 나타내고 있는 데이터로 연도별, 교직원별(교원, 사무직원) 재직기간별(5년미만, 5년이상~10년미만, 10년이상~15년미만, 15년이상~20년미만","재직기간,연도,교직원,연금 대상,연도별 변화,교직원 통계",2026-07-08,"2,980건","1,025건",가입·재직·기관,보조검토,https://www.data.go.kr/data/15045808/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
54,15062414,사립학교교직원연금공단_온실가스 배출량,"사립학교교직원연금공단 소유 회관 전체의 온실가스 배출량 데이터로, 총 온실가스 배출량, 직접배출량(SCOPE 1), 간접배출량(SCOPE 2) 항목에 대한 데이터를 제공합니다.","온실가스,직접배출,간접배출,환경 경영,지속 가능성,ESG 경영,에너지 소비,기후 변화",2026-07-08,"2,981건",976건,기관운영·ESG,보조검토,https://www.data.go.kr/data/15062414/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
55,15063431,사립학교교직원연금공단_연금종류별 연도별 연령별 성별 연금수급자 및 수급종료자 통계,"사립학교교직원연금공단에서 제공하는 사학연금 종류별, 연도별, 연령별, 성별, 연금수급자 및 수급종료자 통계(20.8월 기준)에 관련된 데이터입니다.","사학연금,수급자,수급종료,수급연도,수급연령,수급자성별,연금종류",2025-05-20,"3,973건",984건,퇴직·급여,검토대상,https://www.data.go.kr/data/15063431/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
56,15065026,사립학교교직원연금공단_퇴직일시금 통계,"사학연금공단의 퇴직일시금 통계와 관련된 데이터로 기간(1년 미만 ~ 10년 미만)에 따라 업종별(유치원, 초등학교, 중학교, 고등학교, 전문대학, 대학교, 특수학교, 학교경영기관),","기간별,학교급별,일시금,퇴직일시금,급여통계,사학연금,업종별,성별",2026-07-08,"3,567건","1,305건",퇴직·급여,검토대상,https://www.data.go.kr/data/15065026/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
57,15064958,사립학교교직원연금공단_신규채용현황,"사립학교교직원연금공단 신규채용현황 데이터는 ‘연도, 일반정규직, 청년, 여성, 장애인, 비수도권 지역인재, 이전지역 지역인재, 고졸인력’ 항목으로 구성되어 있습니다.","직역연금,신규채용,일반정규직,인사정보,인력현황,공공기관채용",2026-07-08,"2,846건",919건,기관운영·ESG,보조검토,https://www.data.go.kr/data/15064958/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
58,15045811,사립학교교직원연금공단_재직기간별 연령별 교직원 수,사립학교교직원의 재직기간별 연령별 교직원 수를 나타내고 있는 데이터로 재직기간(01년미만~35년이상) 및 연령별(25세미만~66세이상) 교직원 수 현황을 제공하고 있습니다.,"재직기간,연령별,교직원,교직원 통계,인구 통계,연금가입",2026-07-08,"3,862건","1,019건",가입·재직·기관,보조검토,https://www.data.go.kr/data/15045811/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
59,15049778,사립학교교직원연금공단_연도별 재직기간 합산 승인 현황,"사립학교 재직 중인 교직원의 연도별 직역연금 재직기간 합산 승인 내역(사학연금, 공무원연금, 군인연금)과 관련된 데이터로 학교급별(유치원, 초등학교, 중학교, 고등학교, 전문대, 대학교","공적연금,재직기간,합산,공무원연금,군인연금,통계 자료,경력 합산",2026-07-08,"3,257건","1,099건",가입·재직·기관,보조검토,https://www.data.go.kr/data/15049778/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
60,15047808,사립학교교직원연금공단_시장위험지표(VaR금액),"사립학교교직원연금공단 시장위험지표(VaR금액)과 관련된 데이터로 연도, 월별, 국내주식직접, 국내주식위탁, 해외주식위탁, 국내채권직접, 국내채권위탁, 해외채권직접, 해외채권위탁, 시장위험","사학연금,기금,리스크,시장VaR,기금운용,주식운용,채권운용,위험관리",2026-07-09,"2,784건","1,118건",기금·투자·재무,보조검토,https://www.data.go.kr/data/15047808/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
61,15045874,사립학교교직원연금공단_전자도서 입고 현황,"사립학교교직원연금공단 전자도서 입고 현황과 관련된 데이터로 구매차수, 구분, 품명, 수량(종), 권수 등의 항목을 제공합니다.","온라인도서,ebook,신규입고현황,신규도서,콘텐츠관리",2026-07-07,"2,906건","1,005건",법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15045874/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
62,15047809,사립학교교직원연금공단_신용위험지표(VaR금액),"사립학교교직원연금공단 신용위험지표(VaR금액)과 관련된 데이터로 년도, 월별, 국내채권직접, 해외채권직접, 대체투자, 국내대체투자, 해외대체투자, 신용위험 통합 전체 등 자산군별 신용위험","채권,대체투자,신용위험,리스크,신용VaR,신용리스크,재무안전성,금융지표",2026-07-15,"2,848건","1,099건",기금·투자·재무,보조검토,https://www.data.go.kr/data/15047809/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
63,15064963,사립학교교직원연금공단_시간가중수익률현황,"사립학교교직원연금공단 시간가중수익률현황과 관련된 데이터로 채권(국내직접, 국내간접, 해외직접, 해외간접), 주식(국내직접, 국내간접, 해외간접), 대체투자, 현금성 등의 항목을 실적","사학연금,시간가중수익률,초과수익률,연금 기금,수익률 분석,투자 성과,기금 운용,자산 평가",2025-09-03,"3,128건",517건,기금·투자·재무,보조검토,https://www.data.go.kr/data/15064963/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
64,15045867,사립학교교직원연금공단_퇴직교직원 사회참여 현황,"사립학교교직원연금공단 퇴직교직원 사회참여 현황과 관련된 데이터로 참여유형, 사회참여 활동명, 참여인원, 연계기관 등의 항목을 제공합니다.","사회참여활동,참여인원,연계기관,사회참여,재능기부,퇴직교직원,봉사활동",2026-07-07,"2,491건","1,028건",퇴직·급여,검토대상,https://www.data.go.kr/data/15045867/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
65,15045823,사립학교교직원연금공단_대여 현황(연도별 및 대여종류별),"사립학교교직원연금공단 연도별 상세종류에 따른 대여 현황과 관련 된 데이터로 기준연도, 대여종류(학자금대여, 의료대여, 주택대여, 가계자금대여), 건수, 금액의 데이터를 제공합니다.","공적연금,생활자금대여,국고학자금대여,복지증진,대여현황,대출 현황,재정 지원",2026-07-13,"2,963건",981건,대여·복지·재해보상,보조검토,https://www.data.go.kr/data/15045823/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
66,15012492,사립학교교직원연금공단_소급통산 및 사병복무기간산입 현황,"사립학교 교직원의 해당연도별 소급통산 및 복무기간산입 승인 건수와 관련된 데이터로, 연금법 시행 이전 사립학교기관에 근무한 기간을 재직기간으로 인정받거나 복무기간을 재직지간에 산입한","소급통산,재직기간합산,복무기간산입,연금법,연금 산정,소급적,연금제도",2026-07-08,"3,107건","1,053건",법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15012492/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
67,15060554,사립학교교직원연금공단_온실가스 감축실적,"사립학교교직원연금공단 온실가스 감축실적 데이터로 연도, 기준배출량(tCO2eq), 배출량실적(tCO2eq), 실적감축률 등의 항목을 제공합니다.","배출량,온실가스,감축실적,탄소중립,에너지절약,ESG경영,친환경활동,환경경영",2026-07-08,"2,702건",851건,기관운영·ESG,보조검토,https://www.data.go.kr/data/15060554/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
68,15065011,사립학교교직원연금공단_월별 홈페이지 가입자 현황,"사립학교교직원연금공단 월별 홈페이지 가입자 현황과 관련된 데이터로 연도, 월, 가입자, 신규가입자 등의 항목을 제공합니다.","월별,가입자,신규가입자,회원통계,사용자분석",2026-07-15,"2,610건","1,031건",고객·디지털·VOC,검토대상,https://www.data.go.kr/data/15065011/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
69,15047613,사립학교교직원연금공단_국내 대체투자 현황,"공단은 채권, 주식 등의 전통자산 외에도 기금의 수익률 제고, 포트폴리오 다각화, 분산투자를 통한 리스크 저감 등을 위해 부동산, 인프라, 사모주식 등의 대체투자 자산에 일정 비율로","국내대체투자,기금운용,투자현황,평가액,투자처",2026-07-08,"3,497건","1,032건",기금·투자·재무,보조검토,https://www.data.go.kr/data/15047613/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
70,15045810,사립학교교직원연금공단_재직기간별 학교급별 교직원 퇴직 현황,"사립학교 교직원의 퇴직 현황을 재직기간(1년미만 - 35년미만) 및 학교급별로(유치원, 초등학교, 중학교, 고등학교, 전문대, 대학교, 특수학교, 법인) 분류하여 제공하는 데이터입니다","퇴직교직원,교직원,사립학교교직원,학교급별,재직기간별,퇴직통계",2026-06-24,"3,344건","1,143건",퇴직·급여,검토대상,https://www.data.go.kr/data/15045810/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
71,15065017,사립학교교직원연금공단_신규 가입자 수,"사립학교교직원 신규 가입자 수를 나타내고 있는 데이터로 연령, 학교급별(유치원, 초등학교, 중학교, 고등학교, 전문대학, 대학(교), 특수학교, 학교경영기관), 직종별(교원, 사무직원","가입자,연령별,학교급별,교직원별,예산,신규가입",2026-06-24,"2,464건",909건,가입·재직·기관,보조검토,https://www.data.go.kr/data/15065017/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
72,15049779,사립학교교직원연금공단_연도별 합산내역별 승인 건수,"사립학교 교직원의 해당연도의 합산내역별 승인 건수와 관련된 데이터로, 타 공적연금의 재직기간 합산승인을 신청한 사례들을 연도별로 집계하고, 그 내역을 유형별(사립학교교원, 사립학교사무직원","공적연금,재직기간,합산승인,합산제도,연도별 통계,처리 현황,심사 결과",2026-07-08,"2,490건","1,135건",법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15049779/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
73,15068828,사립학교교직원연금공단_사학연금지,사립학교교직원연금공단에서 발행하는 '사학연금지'의 주요 내용을 담고 있습니다.,"매거진,웹진,정보,소식지,공단 활동,연금 정보",2025-09-03,"2,568건",312건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15068828/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
74,15064957,사립학교교직원연금공단_사전정보공표,"사립학교교직원연금공단 사전정보공표과 관련된 데이터로 구분(고유모델, 표준모델), 제목, 주기 항목의 데이터를 제공합니다.","사전정보,고유모델,표준모델,정보공개,재정현황,행정자료",2026-06-23,"2,171건",923건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15064957/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
75,15045806,사립학교교직원연금공단_교직원 사망 현황(학교급별 직종별),"사립학교교직원의 교직원 사망 현황(학교급별·직종별)을 나타내고 있는 데이터로 연도, 학교급(유치원, 초등학교, 중학교, 고등학교, 전문대학교, 대학교, 특수학교), 직종(일반직, 기술직","학교급,직종,연도,인구 통계,교직원 사망",2026-07-08,"3,072건","1,091건",법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15045806/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
76,15065008,사립학교교직원연금공단_금융자산 투자현황,"사립학교교직원연금공단 금융자산 투자현황을 보여줍니다. 이 데이터를 통해 공단의 연금 기금 운용 투명성을 제고하고, 안정적인 기금 운영 성과를 공개적으로 보여주고자 합니다.","채권,주식,금융자산,자산운,기금 관리,연금기금",2025-09-03,"2,660건",597건,기금·투자·재무,보조검토,https://www.data.go.kr/data/15065008/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
77,15064953,사립학교교직원연금공단_사업실명제 선정대상,"사립학교교직원연금공단의 사업실명제 선정대상과 관련된 주요 정보를 한눈에 파악할 수 있도록 정리한 데이터로 순번, 사업제목, 담당부서, 사업내용, 연결주소, 등록일시, 기준연도 등의","사업실명제,사업제목,사업내용,대상사업,선정,사업관리",2026-07-09,"2,274건",987건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15064953/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
78,15045866,사립학교교직원연금공단_퇴직교직원지원센터 교육 현황,"퇴직교직원지원센터 교육 현황의 데이터 항목은 분야, 강좌명, 인원수, 교육시간, 교육일자로 구성된 데이터입니다. * 교육관련 강좌 개설 및 계획 수립시 사용할 수 있는 데이터입니다.","강좌명,교육시간,교육일정,교육지원,교육운영,퇴직자",2025-05-20,"2,785건","1,204건",퇴직·급여,검토대상,https://www.data.go.kr/data/15045866/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
79,15081256,사립학교교직원연금공단_이사회 회의록,사립학교교직원연금법 제14조(이사회)에 의해 설립되고 사립학교교직원연금공단 정관 제23조(의결사항)에 따라 사립학교교직원연금공단의 중요사항을 심의 및 의결하는 최고 의사결정기구인 이사회,"이사회,회의록,보고서,심의개최,의결,안건,투명경영",2026-07-07,"2,190건",590건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15081256/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
80,15045865,사립학교교직원연금공단_국립대학법인 퇴직수당기금 조성 현황,"사학연금 가입 국립대학법인 퇴직수당기금 조성 현황과 관련된 데이터로 국립대학볍인의 퇴직수당기금과 관련하여 연도별로 수입과 지출이 얼마정도이며, 당해년도 기금이 얼마나 조성되었는지 등에","국립대학법인,퇴직수당기금,조성,기금 운용,재정 안정성,연금 기금",2025-06-17,"3,494건","1,181건",퇴직·급여,검토대상,https://www.data.go.kr/data/15045865/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
81,15045861,사립학교교직원연금공단_해외대체 투자자산 위탁운용사 내역,"공단은 채권, 주식 등의 전통자산 외에도 기금의 수익률 제고, 포트폴리오 다각화, 분산투자를 통한 리스크 저감 등을 위해 부동산, 인프라, 사모주식 등의 대체투자 자산에 일정 비율로","대체투자,위탁운용,거래기관,해외대체투자,투자분야,투자자산,위탁운용사",2026-07-08,"3,360건","1,146건",기금·투자·재무,보조검토,https://www.data.go.kr/data/15045861/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
82,15081294,사립학교교직원연금공단_고객만족도조사 결과,고객만족도 조사는 연금관연 서비스를 이용하는 사립학교 교직원 고객을 대상으로 서비스 전반에 대한 만족도를 조사하는 공공데이터 입니다.,"고객,만족도,조사,경영평가,PCSI,민원 평가,정책 반영,이용자 의견",2026-07-08,"2,248건",672건,고객·디지털·VOC,보조검토,https://www.data.go.kr/data/15081294/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
83,15065503,사립학교교직원연금공단_위험조정수익률 현황,"사립학교교직원연금공단 위험조정수익률 현황과 관련된 데이터로 연도별 월별로 정보비율, 젠센, 샤프지수, 트레이너로 구분하여 정보를 제공합니다.","사학연금,위험조정수익률,정보비율,투자 성과,위험 관리,수익성 평가,재무 건전성",2025-08-18,"2,570건",448건,기금·투자·재무,보조검토,https://www.data.go.kr/data/15065503/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
84,15065158,사립학교교직원연금공단_기준소득월액 하한액,"해당 데이터는 연도별 기준소득월액 하한액 변동 추이, 산정 기준, 관련 연금 급여 산정의 정보를 파악하는데 기초자료로 사용될 수 있습니다.","직원하한액,교원하한액,기준소득월액,비과세소득,직무별하한액,소득기준",2025-06-14,"2,891건",842건,가입·재직·기관,보조검토,https://www.data.go.kr/data/15065158/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
85,15064918,사립학교교직원연금공단_공적연금 연계신청자 현황,"공적연금 연계신청자 현황과 관련된 데이터로 연계 신청 연도, 연계 신청 인원 등의 항목을 제공합니다.","직역연금,공적연금,연계신청차,신청 현황,연금 연계,국민연금",2026-07-08,"2,743건",943건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15064918/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
86,15064966,사립학교교직원연금공단_연금수급자 및 연금선택률,"사립학교교직원 연금수급자들의 수급 현황을 나타내고 있는 데이터로 연금종류별(퇴직연금, 유족연금, 장해연금, 연계연금) 수급자 수 및 연금선택비율을 제공합니다. 위 데이터는 1.","직역연금,유족연금,퇴직연금,장해연금,연계연금,급여청구자",2026-07-08,"2,617건",928건,연금수급자,검토대상,https://www.data.go.kr/data/15064966/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
87,15081292,사립학교교직원연금공단_부산회관 주차장 현황,사립학교교직원연금공단이 소유하고 있는 부산회관은 건물 전체를 임대하고 있는 임대건물로 입주업체 차량이 많은 관계로 무료 주차는 불가하고 주차장의 운영 및 관리는 별도 운영사에서 유료로,"부산,회관,주차장,임대건물,무료주차장,유료주차장",2025-06-13,"2,476건",535건,기관운영·ESG,보조검토,https://www.data.go.kr/data/15081292/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
88,15084707,사립학교교직원연금공단_유연근무 현황,"사립학교교직원연금공단 유연근무 현황 데이터는 ‘연도, 시차출퇴근형, 근무시간선택형, 집약근무형, 재량근무제, 재택근무형, 스마트워크근무형’ 항목으로 구성되어 있습니다.","유연,근무,현황,재량근무,재택근무,스마트워크근무",2026-07-08,"2,182건",615건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15084707/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
89,15102550,사립학교교직원연금공단_장해연금수급자 평균연금수령액 현황,사립학교교직원연금공단 장해연금수급자 평균연금수령액 데이터는 직무상장해연금과 비직무상장해연금으로 구성된 장해연금을 수급중인 수급자의 평균 연금 수령액을 정리한 통계자료 입니다.,"장해연금,수급자,연금수령,평균연금월액,비직무상장해연금,직무상장해연금,연금수급자",2026-07-08,"2,413건",477건,연금수급자,검토대상,https://www.data.go.kr/data/15102550/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
90,15081284,사립학교교직원연금공단_홍보용 동영상,"사립학교교직원연금공단 홍보용 동영상과 관련된 비정형 데이터로 교직원 홍보영상(국문, 영문, 수화) 및 국민 홍보 CF 등의 항목을 제공합니다.","홍보,동영상,CF,영상자,시각 자료,공단 활동",2025-09-03,"2,343건",177건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15081284/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
91,15049780,사립학교교직원연금공단_직역연금별 재직기간 합산 승인 내역(군인),"사립학교 재직 중인 교직원의 이전 직역연금 재직기간 합산 승인 내역(군인연금)과 관련된 데이터로 학교급별(유치원, 초등학교, 중학교, 고등학교, 전문대, 대학교, 특수학교, 법인),","직역연금,합산,군인,재직기간,군인연금,학교급별,직구분",2026-07-09,"3,020건","1,065건",가입·재직·기관,보조검토,https://www.data.go.kr/data/15049780/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
92,15135367,사립학교교직원연금공단_대표홈페이지 사학연금현황 연도별 급여지급 현황,"사립학교교직원연금공단_대표홈페이지에 등록된 사학연금 현황(연도별 급여지급 현황)에 관한 데이터로 기준년도, 연금급여 퇴직연금금액, 연금급여 퇴직유족연금금액, 재해보상급여 재직중급여금액","대표홈페이지,연금현황,급여지급,재해보상급여,퇴직수당급여",2025-06-05,"2,991건",258건,고객·디지털·VOC,검토대상,https://www.data.go.kr/data/15135367/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
93,15047614,사립학교교직원연금공단_국내대체 투자자산 위탁운용사 내역,"공단은 채권, 주식 등의 전통자산 외에도 기금의 수익률 제고, 포트폴리오 다각화, 분산투자를 통한 리스크 저감 등을 위해 부동산, 인프라, 사모주식 등의 대체투자 자산에 일정 비율로","대체투자,위탁운용사,사립학교교직원,국내대체투자,투자자산,투자분야,기금 운용",2026-07-08,"2,911건","1,127건",기금·투자·재무,보조검토,https://www.data.go.kr/data/15047614/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
94,15081303,사립학교교직원연금공단_연도별 부담금 수입,"사립학교교직원연금공단 연도별 부담금 수입과 관련된 데이터로 부담금유형별, 부담주체별, 연도, 수입 금액 등의 항목을 제공합니다.","부담금,수입,연금,개인부담금,법인부담금,재해보상부담금,퇴직수당부담금",2026-07-08,"1,892건",687건,가입·재직·기관,검토대상,https://www.data.go.kr/data/15081303/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
95,15081304,사립학교교직원연금공단_장해연금 수급기간별 수급자 수,"사립학교교직원연금공단 장해연금 수급기간별 수급자 수와 관련된 데이터로 수급기간을 연도로 구분하여 학교급별, 교원·사무직원별, 남·여별 수급자 수의 항목을 제공합니다.","장해,연금,수급자,수급기간,연금통계,기간별통계",2026-07-08,"1,803건",866건,연금수급자,검토대상,https://www.data.go.kr/data/15081304/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
96,15045809,사립학교교직원연금공단_사무직원 퇴직 현황(재직기간별 직종별),"사립학교 사무직원의 퇴직 현황을 나타내고 있는 데이터로 연도별, 재직기간별,(5년미만, 5년이상~10년미만, 10년이상~15년미만, 15년이상~20년미만, 20년이상~25년미만, 25년이상","재직기간,직종,사무직원,퇴직현황,직종별,인사 정보",2026-07-08,"2,823건","1,096건",퇴직·급여,검토대상,https://www.data.go.kr/data/15045809/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
97,15081286,사립학교교직원연금공단_청년인턴 채용 현황,"사립학교교직원연금공단 청년인턴 채용 현황 데이터는 ‘구분, 유형, 연도’ 항목으로 구성되어 2017년 ~ 2024년 간의 채용 실적을 연도별로 정리한 데이터입니다.","청년,채용,인턴,체험형 인턴,채용형 인턴,인턴쉽,취업정보",2026-07-08,"1,989건",692건,기관운영·ESG,보조검토,https://www.data.go.kr/data/15081286/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
98,15081267,사립학교교직원연금공단_대여 상환 수납 현황,"사립학교교직원연금공단 연간 상환 유형별 금액 및 건수와 관련 된 자료로 처리일자, 수납일자, 정기상환건수, 정기상환금액, 개인정기상환건수, 개인정기상환금액, 일시상환건수, 일시상한금액","대여,상환,수납,유형별,대여체납,건전성확보",2026-07-09,"2,068건",566건,대여·복지·재해보상,보조검토,https://www.data.go.kr/data/15081267/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
99,15081266,사립학교교직원연금공단_급여청구자 대상 형벌의뢰 현황,"사립학교교직원 중 급여청구자 대상 형벌의뢰 현황과 관련된 데이터로, 연도별(2018년~), 분기별(1분기, 2분기, 3분기, 4분기)로 세분화하여 형벌 확인 건수(명)에 대한 현황을","급여청구자,형벌,의뢰,연도별통계,분기별통계,급여 심사,부정 수급",2026-07-08,"1,770건","1,189건",법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15081266/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
100,15081301,사립학교교직원연금공단_교직원 사망 현황,"사립학교교직원의 사망 현황을 나타내고 있는 데이터로 연령, 합계, 교직원(교원, 사무직원), 성별(남, 여), 학교급별(유치원, 초등학교, 중학교, 고등학교, 전문대학, 대학교, 특수학교","사망현황,교직원통계,연령별,직종별,성별",2026-07-08,"2,279건",612건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15081301/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
101,15081271,사립학교교직원연금공단_급여심의회 운영 현황,사학교직원이 재직 중 직무와 관련하여 발생한 질병·부상·장해 및 사망에 대하여 직무상 재해여부 등을 심의하기 위하여 사학연금공단 내에 설치된 심의기구 입니다.,"급여심의회,상정,결정,연금제도,심의현황,급여별 심의현황",2025-06-17,"1,914건",674건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15081271/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
